Label,dim_0,dim_1,dim_2,dim_3,dim_4,dim_5,dim_6,dim_7,dim_8,dim_9,dim_10,dim_11,dim_12,dim_13,dim_14,dim_15,dim_16,dim_17,dim_18,dim_19,dim_20,dim_21,dim_22,dim_23,dim_24,dim_25,dim_26,dim_27,dim_28,dim_29,dim_30,dim_31,dim_32,dim_33,dim_34,dim_35,dim_36,dim_37,dim_38,dim_39,dim_40,dim_41,dim_42,dim_43,dim_44,dim_45,dim_46,dim_47,dim_48,dim_49
ham,-1.3520238,0.4995479,2.2116535,0.16595322,-1.0108509,-0.7570846,0.5274555,0.56214285,-0.393037,0.1512228,0.13682646,-0.75474226,0.46213603,0.009806231,-0.15252368,-0.46596214,0.24219568,0.08854142,-0.81006116,-0.9961376,-0.14809668,-0.37440306,0.13233793,-0.40921003,-0.3993851,-0.5811717,-0.6050954,0.7494393,0.4160857,0.10446662,1.0665162,-0.21608666,-0.34510225,0.027695343,0.6372057,-0.34349734,0.13953531,-0.17965618,-0.41274068,-0.3751482,0.4053123,-0.10216987,0.16800706,0.32768428,0.46638408,-0.26891637,-0.12379882,0.13611758,0.37788233,-0.27765512
spam,2.575898,0.0011191964,-0.2088728,0.20362853,1.0093129,-1.2543284,-0.5197288,0.9930465,-0.6735511,-1.0480593,-0.034171842,0.29033667,-0.45496646,0.09479297,0.33505285,0.36107355,0.007643074,0.16555527,0.2001078,-0.2029631,-0.30043995,-0.6243004,0.5815354,-0.018749654,-0.5110315,0.08403232,-0.57764024,0.45129436,-0.29964533,-0.0791181,0.17722338,-0.22595187,-0.10294629,-0.30400708,-0.24421999,-0.13066334,0.33892763,0.0347626,-0.33658352,-0.48351234,0.5867807,-0.27905133,-0.22718617,0.8487982,-0.47601363,0.07215527,0.25939047,-0.09979755,0.105247796,0.035037123
spam,2.1970239,-0.5041263,-0.28322947,-0.66593426,1.324954,-1.2373803,-0.29606158,0.6949309,-0.7300252,-0.6319326,0.553891,-0.14964205,0.2306531,-0.85924757,-0.5554791,-0.25486046,0.15342844,0.5018631,0.511195,-0.3803716,-0.44512647,-0.12553197,0.07130411,-1.1466632,0.9771049,0.6152848,0.027654767,-0.057937264,0.6589278,0.31641278,0.22941902,0.15442954,0.13002329,-0.13730022,-0.01972948,-0.5454972,0.18957043,-0.9826184,0.22566193,-0.115994245,0.9405997,0.15560277,0.058142766,0.1627239,-0.4400957,0.37247846,-0.02888114,0.20459855,0.08161652,-0.064218156
ham,1.0585775,0.17193055,0.16328001,-1.5671601,-0.57357585,-0.24670407,0.8660211,1.6335285,-0.42736432,-0.7370852,-0.026468478,0.3671468,0.6711347,0.5654111,-0.50951296,0.8501975,-0.30733672,0.07670218,0.24644971,-0.5166551,0.07837265,0.073556125,-0.2534545,-0.47160316,0.81240034,-0.49307013,-0.5072877,1.5746243,0.23749775,-0.6288812,0.052363195,-0.13785417,0.2845517,0.70639193,-0.07817471,0.277825,0.07091561,-0.05553975,-0.013960417,-0.5974682,-0.028241694,0.38246474,0.024337873,0.27987242,0.061356366,-0.1342466,0.26044348,0.5241184,0.047581613,0.07321951
ham,-0.021333754,-3.0310452,1.3062775,-0.091550454,1.8059719,0.46341592,0.8569844,-0.98125935,-0.0007420778,-1.377956,0.9566396,-0.10460332,-0.060264647,-0.27611506,-0.6081516,-0.9112163,2.650993,0.074278265,-0.29218537,0.80341244,-0.4250921,-0.32572994,-0.25118652,-0.3525626,-0.5820496,-0.016749114,0.19423023,-0.98570585,-1.1042734,0.98486584,-0.36275586,1.199892,-0.46780744,0.59409773,0.29229477,0.84756315,0.5849283,0.02391275,-0.06400891,0.5086176,-0.13248092,-0.52563,0.17762344,0.8539556,-0.9568598,0.27375737,-0.19212875,0.44635996,0.5321957,-0.029752925
spam,2.5256462,-0.15815938,-0.56083965,-0.5314893,-0.57207763,-0.39395136,-0.27876186,-0.2822415,-0.107021004,0.20564303,-0.10473586,0.17252043,0.011606298,-0.14613825,-1.1760601,-0.38951164,-0.35068628,-0.35434982,-0.23857588,-0.54579496,0.07750682,0.12247644,-0.20111343,-0.16847153,-0.41164893,-0.94175035,0.26295173,0.06382039,0.12960106,0.06460936,0.20599115,-0.22391039,0.6084408,-0.34097508,0.6698324,-0.6145785,-0.006179124,-0.26159307,-0.7671334,-0.42124772,1.477807,-0.36603686,-0.21531855,0.31627294,0.33552802,-0.664724,0.13260859,-0.043002397,0.6011424,-0.47345194
ham,-2.512593,-0.37359726,-1.1537738,-0.7363646,1.0007277,0.9414146,0.38565245,-2.2218003,0.69659376,0.7003821,1.438965,0.8921487,-0.738709,-0.6891447,1.5829042,-1.6458356,0.25303942,-0.5463464,0.7996966,-0.048827473,0.15920523,-0.22376673,-0.20612209,1.3136618,0.49688867,1.075614,0.83286005,-0.23910293,-0.94790566,0.00829047,0.8297619,-0.49637455,0.6812953,-0.44246212,0.38432124,-0.1464765,0.06890802,-0.7312239,0.94466543,-1.0035295,-0.21868226,-0.8556608,0.2310171,-0.39978588,0.45982262,-0.26028582,-0.7836044,-0.64567757,0.8100279,-1.142967
ham,-2.344167,1.2170331,-0.4664079,-0.9678215,-0.050180495,-0.23835954,-0.8130672,0.050989002,-0.23327067,-0.08280483,0.7561189,-0.8964383,0.54008836,0.5064126,-0.26889592,0.98570365,-0.24831459,0.27135208,0.45397997,0.9973905,-0.96811146,0.81344825,-0.26299483,-0.10650116,1.0311481,-0.3785623,0.16766407,0.15376627,0.9106858,0.41995597,-0.2506607,-0.43260926,-0.67133945,0.5353972,0.26720563,-0.13800216,0.028597336,0.47827742,0.0125516,0.6400464,0.6681793,-0.28372398,-0.51896054,-0.2450847,0.03139907,0.33504298,0.55588466,-0.44570205,-0.1778552,0.259797
ham,-1.9745772,1.2029629,0.1754564,0.18329197,-0.14343017,-0.33860365,0.013097584,0.66715145,-0.6593752,-0.3765951,-1.0033506,0.11287555,0.50567985,0.34886762,-0.049837455,0.05101922,0.093485385,-0.47979152,0.81035995,-0.88261247,0.27131194,-0.0005569272,-0.040495172,-0.18147185,-0.57895154,-0.15975292,0.68454987,-1.4261105,-0.31167448,0.31902316,1.1684422,-0.72808313,-0.29946408,0.12840874,0.08811884,0.121433884,-0.47991413,0.9014338,0.18287416,-0.1848078,-0.61341745,0.43958852,0.26926678,0.43945283,0.24060601,0.36420837,0.34029633,0.02121687,-0.97470194,-0.2110452
spam,0.8377347,0.46422213,0.029155493,-0.5884465,0.45759803,-0.20121935,0.45917657,-0.49427894,-0.20159903,-0.5254444,0.503791,0.015699247,0.21687381,0.4602442,0.67948484,-0.12314594,0.6104625,-0.8021283,-0.02445307,-0.8232622,0.29477817,-0.80734617,-0.58509564,-0.21427438,0.4915211,-0.0078826845,-0.17129281,-0.34851256,0.4139339,0.6809199,-0.5765554,-0.17156282,-0.4058957,-0.81610787,0.18992788,0.00040607154,-0.21617687,-0.6633747,0.10522638,-0.22207041,0.8353691,-0.5570023,-0.6446616,-0.13819236,-0.06754777,-0.4419892,0.4630636,0.38442078,-0.61663646,0.49102375
ham,-0.5442443,0.86317176,-1.5086286,-1.8867543,-0.7304158,2.1000955,-0.68096197,0.73053014,-0.3196819,0.9044001,0.19688874,-0.24856903,0.4141268,-0.17724231,0.33565527,0.1115101,1.5579273,1.408601,0.1543206,0.06288616,-0.3380019,-0.22899811,0.9526827,0.5022363,0.55931365,-0.69392806,0.34758645,-0.44022942,0.53104866,1.9933038,-0.54457235,-0.45304227,-0.6802083,0.8063551,0.28744936,-0.24921595,-0.13600418,-0.4362793,0.60619986,0.5337664,0.76365495,0.36539155,-0.27550644,0.077995256,0.7746823,-0.31295568,0.11211977,-0.7597614,-0.12967414,-0.026207596
ham,-1.8198104,-0.5294542,-0.23596156,0.31293935,0.09864777,-0.08877637,0.27638173,-0.8896806,-1.03152,-0.35414568,-0.789945,0.8572169,-0.46491632,-0.5873048,-0.55728203,0.12628049,0.59476626,0.899073,0.101432875,0.2682887,-0.076379046,0.25841516,-0.78820974,-0.10278937,0.059978634,0.40882674,-1.1176643,1.0140557,-0.27372003,-0.16892347,-0.6647513,-0.3895017,1.4257773,-0.1283899,0.2517743,-0.64132524,-0.48026502,0.24665165,0.52690005,-0.20324235,-0.45357132,0.47479942,-0.11582087,-0.13998556,-0.055363387,-0.10002716,-0.23723161,0.11457792,-0.5828561,-0.024189405
ham,0.572209,1.3508804,-0.9235593,1.1923648,1.9041617,-0.42953682,0.5093217,0.13873312,-1.1033897,0.58997273,-0.08267278,0.70896447,-1.374889,-0.56403023,-0.79684025,-0.4231241,-0.5440732,0.8888421,0.34846675,0.66315734,-0.6725249,0.2361704,-0.02459316,1.0199234,-0.5756875,-1.2483125,0.36502406,0.37304837,-0.14039426,0.3223981,0.0043541864,0.15800951,-0.2575459,0.84210086,-0.28922385,-0.022375911,0.19004294,0.2557575,0.23219165,-0.2683466,-0.51302373,-0.72285247,-0.528633,-0.04291916,-0.2578778,0.9544622,0.4816615,-0.80589163,0.72907835,-0.94370866
ham,-1.9413221,0.1065467,0.9575317,1.3476392,1.2940223,-1.2112428,-0.07179141,2.1257148,-0.3026465,-0.24819276,0.104585364,-1.212759,-0.41210136,-0.3202454,0.58232737,1.0882034,0.22262926,0.33644733,0.27125874,-0.45032707,1.2462564,0.2787944,-1.4639478,0.67993885,-0.509715,0.62950915,-0.032877505,0.3687231,0.06699166,-0.33561397,-0.6484989,-0.031785205,0.40740156,-0.70073915,0.07705158,-0.33652395,0.27535507,-0.19711441,-0.38308543,0.39344767,0.5645193,0.48254022,-0.16356054,-0.17025995,0.053336278,-0.4362437,-0.12121422,-0.13222538,0.937428,-0.02203466
ham,-1.0914469,-0.5669027,-0.12192094,1.3794357,0.17409223,0.646449,-0.4145912,-1.2598674,0.5063655,-0.68400514,0.12078297,0.164943,0.24072261,-1.4470565,-0.05065532,0.23112816,0.39336845,0.1511417,0.9484206,-0.29048,-0.2822119,-0.6996115,-0.49073365,-0.7522106,-1.3420544,0.13896489,-0.3293544,0.60653776,-0.7874124,0.21289599,0.1574611,0.36290914,0.8629973,1.3177339,-0.22764745,0.9877455,-0.4042384,-0.33257055,-0.74858713,-1.138086,-1.0383376,-1.2591099,-0.1781112,-0.47202367,0.22380817,-0.009027451,-0.25397792,0.5550536,0.30410832,0.017937604
ham,-0.79756784,0.70544785,0.1371417,0.52273726,-1.1202637,-1.886378,-1.315736,0.6801921,-1.064491,0.2576573,-0.40699857,-1.5672235,-1.2142864,-0.7332089,0.5479158,-0.60871893,0.66013134,0.4057856,-0.3304088,-0.49992588,-0.16255772,0.3392483,0.037734434,0.49288952,-0.30313358,-0.17726573,0.3313397,-0.81957567,-1.1604853,0.028526306,-0.43007258,0.53878754,0.10867147,-0.8290255,-0.27827546,0.27097675,-0.020574767,-0.13613427,-0.23586108,-0.1993633,0.7239665,0.14351606,-0.39988357,-0.18891636,0.32395118,0.06139019,-0.42460403,-0.90802145,-0.10921824,-0.20793983
ham,-1.8936274,0.3357268,-1.5748651,-1.1945479,-0.3845477,0.31430483,-0.27337784,-0.43071797,-0.81500256,-1.3954481,-0.497392,0.10259332,0.48832032,-0.033256702,0.096883446,-0.40242365,-0.36107156,0.0044969916,2.1010711,-0.9314218,0.32824254,0.3304002,0.18932799,-0.7351256,-0.97128177,0.38405013,0.3852098,-0.3881657,0.62122595,0.86514574,-0.15090889,-0.5232099,0.18794888,0.17355818,-0.5087665,0.60884285,0.74046826,0.25588232,0.20403393,0.4661395,-0.7360233,-0.50609016,-1.225054,0.046232983,1.1103021,0.008430928,-1.0749866,0.48055527,0.382811,0.12383426
ham,-1.0871303,-1.0124207,0.015383124,-0.48009604,-0.82808346,-1.3725739,-0.7397804,1.1947327,-0.079022914,1.0945481,-0.36497742,-1.0550747,-1.2778367,0.1935209,-0.5320722,0.55214787,1.127544,-0.5521476,0.091001734,-0.23568945,0.59368575,-0.58332795,-0.23921284,0.6889723,-0.45516887,1.6738691,-0.34184754,-0.015539974,-0.19215459,-0.23750472,0.8498776,-0.83243936,-1.1392568,-0.09166658,-1.5805008,-0.64052045,-0.6392307,-0.19804668,0.4987681,1.0452036,0.6547143,0.19689032,-0.31603903,0.06388143,-0.26855114,-0.57371974,0.7650114,-0.81124496,0.6518775,0.48769024
ham,-0.1334362,-0.20529175,0.19552279,2.2757962,-0.16160852,-0.74169993,-0.9061321,0.030076295,-0.15955415,1.9524312,-0.8544317,0.24657047,0.9375497,1.3198427,0.5036377,0.9154393,-1.1827747,-0.17397352,-0.2512012,0.4577498,-0.26995924,-0.27286783,-0.21023762,0.041425616,-0.582949,-0.86130697,0.560222,0.7969976,-0.29951364,-0.73837227,0.33876902,-0.44699198,0.122891165,0.8758726,0.1780254,-0.43622392,0.38262835,-0.47653183,-0.70111847,-0.22218482,1.1021417,-0.055977985,0.8143712,0.5584501,0.68838394,0.5349715,-0.32476854,0.29138598,-0.68270785,-0.10657054
ham,-1.8023982,-1.1170142,0.41915047,0.21203229,-2.1345096,0.14201835,-0.31118608,0.8756422,0.23729366,-0.1268042,-0.19966891,-0.52675056,1.0464565,-0.756104,0.4844231,0.2648831,-0.5011815,2.453844,0.79580146,0.26799452,0.533923,0.6741162,0.25696245,1.5785491,-0.787572,0.11285221,-0.16659307,0.81701976,0.35263765,-0.7230933,-0.21559793,-1.4188194,-0.13730463,0.10113673,0.033872813,-0.21030673,0.8326894,0.25291303,0.4462945,0.6438549,-0.13212869,0.38187647,0.42161143,0.3530667,0.6314992,0.94068,-0.06961807,-0.46994716,0.36700594,0.3445134
ham,-1.3743005,1.3007097,0.18861079,-0.4373601,-0.9244328,-0.13687447,0.5588481,-0.3255939,-0.68502927,-0.16060522,-1.1863111,0.032147575,-0.014024526,0.00888703,-0.49660796,-0.53468585,0.11749151,0.18646917,0.09718306,-0.83129346,0.041730717,-0.42684856,0.10799682,-0.21684384,0.14176509,-0.87978613,0.2599653,-0.03855881,0.12836184,0.5143813,-0.39915818,-0.06687258,0.2716608,-0.51178193,0.37020552,0.27866447,-0.058881003,-0.27031296,0.3600436,-0.32848597,-0.28450015,-0.2070815,-0.8444961,-0.037427187,0.52326024,-0.20161037,0.052927114,-0.1923119,-0.070278704,-0.21450806
ham,-1.4076669,0.96633404,-0.040650845,-0.5046893,-0.95574784,-0.8251176,0.10471283,-0.66178894,-2.2330463,-0.77637744,0.76837546,-0.2291791,0.46056467,0.051978104,-0.54841405,0.16519564,-0.7592373,-0.8723167,-0.39815485,0.33956102,-0.22332668,-0.39327934,-1.1652157,-0.21616614,0.26366654,-0.22025675,-0.553052,0.3874269,0.0040158182,0.40817493,0.80296665,0.15311863,-0.39482704,-0.52331173,0.048324168,-0.84448534,-0.7865625,0.61896574,-0.4563776,-0.46384996,-0.22633797,-0.34945086,-0.28493935,-0.22168648,0.21960144,0.90577686,-0.38151285,0.560869,-0.7799061,-0.5807957
ham,-0.747602,0.563399,-1.1918296,0.09671885,0.9077969,1.6134647,-0.57676345,0.5627991,-0.49578306,0.36944336,0.17128256,-0.54063874,-0.23856345,0.44564506,0.11450952,-0.22644699,0.25257677,-0.21464339,-0.7677125,-0.75507283,-0.26835006,-0.20967112,0.8107632,-1.2222595,-0.42305657,1.0746236,-0.026313543,0.00055739284,-0.08748369,-0.47043556,0.99812746,-0.94541806,-0.75830567,0.30049926,1.2460449,0.99202347,1.2327003,-1.4402374,-0.5238206,-0.8710465,-0.9681096,-0.22916931,-0.25261122,-1.1782819,-0.25711432,0.20725122,-0.88523906,0.89659226,-0.60591215,-1.4910809
ham,-0.43230534,-1.7277215,-0.16934538,0.7292013,-2.5670247,-0.7992796,0.3243075,0.8438809,1.2107702,0.3583327,-0.49469143,-0.72039837,-1.084929,1.3971483,-0.29283893,0.112647474,0.18925661,0.23201749,1.4181412,1.035207,-0.94972044,-0.45882127,-0.2547107,-0.59392655,1.0231605,0.4512216,-0.43563795,0.24023014,-0.23061633,0.4897675,0.14493808,-0.035355046,0.5500141,1.7166358,-1.0586483,-0.35000864,-0.43133953,-1.2393439,-0.7412751,-1.4556649,-0.89058995,0.27346936,0.34061813,-0.045182794,-0.4910653,0.66911864,1.0927691,-0.1292614,-0.17912513,0.9374485
spam,3.3291647,-0.18598309,-0.3742537,-0.5154178,0.22887653,-1.2576785,-0.798303,-0.75347006,0.16236326,-0.9818473,-0.26265723,0.48203874,-0.3167342,0.2991678,0.11907776,-0.42215842,-0.6151507,-0.9067457,0.69965225,0.46071693,0.33713448,0.54247135,0.50040615,-0.37932378,-0.26326543,-0.17038277,1.1935885,0.40192896,0.94093156,0.5265721,0.13058686,-0.8727693,-0.4399423,-0.33144942,0.11858675,0.13598824,-0.07620683,0.15071562,-0.6325643,0.067795776,-0.24569282,-0.75285685,-0.09392141,0.38793522,-1.4197958,-0.85406995,-0.46034986,-0.21981254,0.12814039,0.05173718
ham,-0.8115835,-0.4188436,0.7363272,1.3583212,0.74131685,0.90443325,0.59113896,0.4788129,0.22738032,-0.8979465,0.18948781,0.33118817,0.13621402,-0.47027972,-0.13575406,0.27171165,0.4072412,-0.086619735,-0.5655311,-0.39753798,-0.65536314,-0.16247143,-0.8986394,0.54559344,-0.09480116,0.9050584,0.4226932,0.5861648,-0.09861821,-0.23665708,0.15254179,-0.92132,0.64192253,0.28650653,0.09793493,0.23569083,-0.50914186,0.44814518,0.02488089,-0.04916269,-0.11772302,-0.081851035,0.7601814,-0.020268232,-0.5300715,0.2512497,0.25258642,-0.42342463,0.06861919,0.5145239
ham,-0.5616939,-1.0429366,1.0567877,0.91717035,-1.5332551,0.9772153,-0.20368612,-0.97777426,-1.0067985,2.2002342,0.47873124,0.53801984,0.2063705,-0.43809706,0.8024439,-0.5117052,-1.3488029,0.23810682,0.15037191,-0.11623798,0.82904404,-0.65935576,0.34809136,-1.3045065,-0.4206078,0.13947308,0.8605059,-0.5501439,0.33623496,-1.0470245,-0.37990454,-0.57105404,-0.21897262,0.21519716,-0.90683997,-0.1366404,0.45788804,0.23728848,0.38073134,-0.7472933,0.83178186,0.40713727,0.15840833,-0.889995,-0.55567575,0.8373121,0.01971782,0.87659216,-0.555283,0.39679393
ham,0.55995053,-0.5450894,-1.0617293,-0.24398236,0.20199066,0.8415251,-0.3476628,0.293844,-0.20845404,1.1273601,-0.005095862,-1.041548,0.5391355,2.2059531,-0.009115592,2.1685612,-0.31818768,0.023512453,-0.82598704,0.52876544,-1.053062,-0.8682799,0.379278,1.5005293,-1.7148422,-0.13869543,-0.11073016,-1.0685742,-0.0248999,1.2071929,0.10992996,-0.8183765,-0.048950337,1.398734,0.3068496,-0.40139928,-0.3013596,-0.74867594,-0.23326726,-0.27929044,0.21521395,-0.47792366,0.0812538,0.23004273,-0.25681797,-0.38006845,-0.50504166,-0.7521105,-0.33616966,-0.8650235
ham,-1.9997661,1.2636957,-0.39488935,0.9028585,1.3439777,0.05429966,0.25518763,0.76947594,-0.32246616,-0.75065887,-1.0254756,0.19486336,0.59034145,-0.11289416,-0.18781762,-0.18666819,-0.28496262,-1.3558649,0.014307037,-0.18416701,0.02487944,-0.017345767,0.4702384,-0.09761831,-0.5870265,-0.12886438,-0.018413275,0.073004544,0.59081376,0.9101729,-1.1690744,0.008830175,0.09897629,0.09991473,-0.29047897,0.22235942,0.5960039,-0.2872514,-0.041177433,-0.052441616,-0.6252784,-0.33968723,0.063424334,-0.12133151,-0.40303704,0.08789629,-0.6281202,0.66974056,0.3211339,-0.14025703
ham,0.044152856,-0.5079536,1.6627796,-0.667833,0.5810805,-0.22873473,-0.59644616,-0.095712945,0.06655279,-0.18555078,-0.4092043,-0.8793852,0.9209261,-1.109631,-0.7664954,-0.5914455,0.2614408,-0.4889485,-0.68433243,-0.5273198,0.046515748,-0.09454994,0.2266776,-0.40147,-0.12587659,-0.7313447,-0.15509325,-0.18530071,-0.5544918,0.0050319135,0.045967408,-0.4671523,0.52026266,-0.4307833,0.124663964,0.44120473,-0.30994138,0.8572651,0.13497949,-0.38528723,0.3154732,-0.20417401,0.3015204,-0.5164039,0.26487592,-0.1806071,0.37680483,0.46693888,-0.36055773,0.1894047
ham,-0.7195387,-1.3638196,-0.36588073,0.63595235,1.0754306,-0.050678566,-0.08669409,-0.45899758,0.7698095,-0.3480694,0.20282587,1.1759319,-0.35815662,0.8988879,-0.03951086,0.3596422,-0.13745484,-0.93755996,0.7141709,-0.6058495,0.04979153,0.1849406,0.123800546,-0.044047803,-0.1014722,-1.2868624,-0.86999553,-0.89523864,-0.7851726,-0.15616193,-0.49887824,-0.95912796,-0.24117887,0.3052621,0.35198653,-0.058019042,0.3204499,1.2646365,0.29713887,-0.22427486,0.41757268,-0.36483186,0.51363295,-0.8143494,0.80961823,-0.24511157,-0.53310263,-0.2908407,-0.5744538,0.12297187
